IDREGRO;ID_ARBRE;ESSENCE;ETAT;DHP;VIGUER6;NB_TIGE;SUP_PE;COUPE;LATITUDE;LONGITUDE;ALTITUDE;P_TOT;T_MA;REG_ECO;TYPE_ECO;MSCR;ABCD
TEM23APC5000;81;HEG;10;37.3;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;C
TEM23APC5000;82;ERS;10;50.3;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;B
TEM23APC5000;83;HEG;10;27.1;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;D
TEM23APC5000;84;ERS;10;31.8;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;D
TEM23APC5000;85;ERS;10;34.8;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;C
TEM23APC5000;86;ERS;10;10.8;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;87;HEG;10;14.2;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;88;HEG;10;25.5;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;C
TEM23APC5000;89;HEG;10;9.6;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;90;HEG;10;33.7;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;D
TEM23APC5000;91;HEG;10;19.9;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;92;HEG;10;9.9;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;
TEM23APC5000;93;HEG;10;13.1;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;
TEM23APC5000;94;ERS;10;24.6;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;C
TEM23APC5000;95;ERS;10;38.1;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;B
TEM23APC5000;96;HEG;10;16.8;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;97;HEG;10;22.7;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;98;ERS;10;37.4;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;B
TEM23APC5000;99;ERS;10;38.4;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;C
TEM23APC5000;100;HEG;10;12.3;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;
TEM23APC5000;101;HEG;10;14.8;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;
TEM23APC5000;102;ERS;10;20.5;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;
TEM23APC5000;103;ERS;10;29.7;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;C
TEM23APC5000;104;HEG;10;29;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;C
TEM23APC5000;105;HEG;10;18.5;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;106;HEG;10;19.6;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;107;ERS;10;25.3;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;C
TEM23APC5000;108;HEG;10;27.5;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;D
