SubModuleID;ParameterEstimate;Ess_groupe
3;0.001100968;ERS
3;0.008818921;ERS
3;0.036140959;ERS
3;-0.007906716;ERS
3;-0.00935684;ERS
3;-0.010284637;ERS
3;-0.003310908;ERS
3;-0.002412183;ERS
3;-0.002547098;ERS
3;-0.005924988;ERS
3;0.005605717;ERS
3;-4.72584e-4;ERS
3;0.008157671;ERS
3;0.0105514;ERS
3;0.032263882;ERS
3;-0.001598037;ERS
3;-0.001710719;ERS
3;-0.001727712;ERS
3;-0.003221824;ERS
3;-0.003101494;ERS
3;-0.002934133;ERS
3;-0.006320312;ERS
3;-0.003095423;ERS
3;-0.001627222;ERS
3;0.00842785;ERS
3;0.009014416;ERS
3;0.008404778;ERS
3;0.032094359;ERS
3;-0.003848223;ERS
3;-0.006046038;ERS
3;-0.00642914;ERS
3;0.002380018;ERS
3;0.002074507;ERS
3;9.66e-5;ERS
3;-0.003317343;ERS
3;-0.004350712;ERS
3;-0.001327432;ERS
3;0.007769237;ERS
3;0.007922619;ERS
3;0.006844551;ERS
3;0.008191634;ERS
3;0.054002639;ERS
3;-0.019800351;ERS
3;-0.019382039;ERS
3;-0.018764153;ERS
3;-0.008650684;ERS
3;-0.009122006;ERS
3;-0.009011543;ERS
3;0.01554968;ERS
3;0.023896473;ERS
3;-0.001308513;ERS
3;0.005076217;ERS
3;0.006584409;ERS
3;0.012165957;ERS
3;0.005640673;ERS
3;0.004283554;ERS
3;0.040310992;ERS
3;-0.002605921;ERS
3;-0.001615805;ERS
3;-0.001257812;ERS
3;-0.002723124;ERS
3;-0.002119388;ERS
3;-0.002386322;ERS
3;-0.003553989;ERS
3;-0.004348602;ERS
3;-1.42461e-4;ERS
3;0.008127578;ERS
3;0.007729401;ERS
3;0.00676131;ERS
3;0.008109967;ERS
3;0.008197016;ERS
3;0.00447574;ERS
3;0.044883535;ERS
3;-0.014051831;ERS
3;-0.005630749;ERS
3;-0.004653007;ERS
3;0.006818381;ERS
3;0.006529947;ERS
3;0.004369816;ERS
3;-0.004667259;ERS
3;-0.005281627;ERS
3;5.73342e-4;ERS
3;0.002189763;ERS
3;5.55e-5;ERS
3;-4.43e-5;ERS
3;-1.84276e-4;ERS
3;0.001783337;ERS
3;7.78e-5;ERS
3;0.002241002;ERS
3;0.067444349;ERS
3;-0.005468272;ERS
3;-0.003665499;ERS
3;-0.002884245;ERS
3;6.2601e-4;ERS
3;4.17289e-4;ERS
3;-0.001046734;ERS
3;-0.00107224;ERS
3;-7.40078e-4;ERS
3;0.001937734;ERS
3;-0.001430256;ERS
3;-1.76868e-4;ERS
3;-0.001706477;ERS
3;-4.51827e-4;ERS
3;0.00177502;ERS
3;-5.47e-4;ERS
3;3.00562e-4;ERS
3;0.006678001;ERS
3;0.012283091;ERS
3;-0.014411377;ERS
3;-0.008655058;ERS
3;-0.008087912;ERS
3;0.011725129;ERS
3;0.011003317;ERS
3;0.007256213;ERS
3;-0.003327754;ERS
3;-0.005683807;ERS
3;0.001539371;ERS
3;0.001628097;ERS
3;4.4898e-4;ERS
3;-9.84191e-4;ERS
3;-0.001817203;ERS
3;-0.005122526;ERS
3;-0.001255907;ERS
3;-0.001390156;ERS
3;0.014152717;ERS
3;0.006287325;ERS
3;0.15757808;ERS
1;9.314016957;FEN
1;0.765923187;FEN
1;1.402326937;FEN
1;-0.019018707;FEN
1;-0.003577557;FEN
1;4.26e-5;FEN
2;0.09049286;FEN
2;0.099277029;FEN
2;0.367834971;FEN
2;-0.099258537;FEN
2;-0.367269624;FEN
2;0.455729336;FEN
2;-0.080198386;FEN
2;-0.265350238;FEN
2;0.264960471;FEN
2;0.308446955;FEN
2;-0.039950667;FEN
2;-0.090221755;FEN
2;0.090115928;FEN
2;-0.014219663;FEN
2;0.217472992;FEN
3;0.09049286;FEN
3;0.099277029;FEN
3;0.367834971;FEN
3;-0.099258537;FEN
3;-0.367269624;FEN
3;0.455729336;FEN
3;-0.080198386;FEN
3;-0.265350238;FEN
3;0.264960471;FEN
3;0.308446955;FEN
3;-0.039950667;FEN
3;-0.090221755;FEN
3;0.090115928;FEN
3;-0.014219663;FEN
3;0.217472992;FEN
1;0.332812174;HEG
1;-0.090273045;HEG
1;0.135024136;HEG
1;-0.140308308;HEG
1;0.008614193;HEG
1;0.381621844;HEG
1;-0.129156858;HEG
1;-0.034734575;HEG
1;0.188740367;HEG
1;0.222076651;HEG
1;-0.326196345;HEG
1;0.084297674;HEG
1;-0.023447783;HEG
1;-0.006970925;HEG
1;0.835872592;HEG
1;-0.056951776;HEG
1;0.030184086;HEG
1;-0.073779086;HEG
1;-0.062162319;HEG
1;0.016134678;HEG
