VegPotID;SubModuleID;ParameterEstimate;Veg_Pot;Effect;Ess_groupe;qualite;drainage;vigueur;produit;type_pe;regEco;response;ntrt;mscr
1;3;-0.107612716;FC1;type_pe;;NA;NA;;;type0;;;NA;
1;3;0.075320296;FC1;type_pe;;NA;NA;;;type1;;;NA;
1;3;0;FC1;type_pe;;NA;NA;;;type2;;;NA;
1;3;-0.837721948;FC1;rid1;;NA;NA;;;;2o;;NA;
1;3;-0.763522228;FC1;rid1;;NA;NA;;;;3a;;NA;
1;3;-0.425367911;FC1;rid1;;NA;NA;;;;3b;;NA;
1;3;-0.057681303;FC1;rid1;;NA;NA;;;;3c;;NA;
1;3;-0.337265118;FC1;rid1;;NA;NA;;;;3d;;NA;
1;3;0.48427831;FC1;rid1;;NA;NA;;;;4e;;NA;
1;3;-0.353507706;FC1;rid1;;NA;NA;;;;4o;;NA;
1;3;-0.175172904;FC1;rid1;;NA;NA;;;;DU;;NA;
1;3;0;FC1;rid1;;NA;NA;;;;SV;;NA;
1;3;1.717298929;FC1;essgroup*rid1;AUT;NA;NA;;;;2o;;NA;
1;3;1.209117016;FC1;essgroup*rid1;AUT;NA;NA;;;;3a;;NA;
1;3;1.128005564;FC1;essgroup*rid1;AUT;NA;NA;;;;3b;;NA;
1;3;-0.463675613;FC1;essgroup*rid1;AUT;NA;NA;;;;3c;;NA;
1;3;0;FC1;essgroup*rid1;AUT;NA;NA;;;;3d;;NA;
1;3;0;FC1;essgroup*rid1;AUT;NA;NA;;;;4e;;NA;
1;3;0;FC1;essgroup*rid1;AUT;NA;NA;;;;4o;;NA;
1;3;0;FC1;essgroup*rid1;AUT;NA;NA;;;;DU;;NA;
1;3;0;FC1;essgroup*rid1;AUT;NA;NA;;;;SV;;NA;
1;3;0;FC1;essgroup*rid1;BOJ;NA;NA;;;;2o;;NA;
1;3;0.517949056;FC1;essgroup*rid1;BOJ;NA;NA;;;;3a;;NA;
1;3;0.251930493;FC1;essgroup*rid1;BOJ;NA;NA;;;;3b;;NA;
1;3;-0.014348674;FC1;essgroup*rid1;BOJ;NA;NA;;;;3c;;NA;
1;3;0.097154074000000007;FC1;essgroup*rid1;BOJ;NA;NA;;;;3d;;NA;
1;3;-0.43973051;FC1;essgroup*rid1;BOJ;NA;NA;;;;4e;;NA;
1;3;0.341371503;FC1;essgroup*rid1;BOJ;NA;NA;;;;4o;;NA;
1;3;-0.061876923;FC1;essgroup*rid1;BOJ;NA;NA;;;;DU;;NA;
1;3;0;FC1;essgroup*rid1;BOJ;NA;NA;;;;SV;;NA;
1;3;0;FC1;essgroup*rid1;EPX;NA;NA;;;;2o;;NA;
1;3;0.593770923;FC1;essgroup*rid1;EPX;NA;NA;;;;3a;;NA;
1;3;0.122955843;FC1;essgroup*rid1;EPX;NA;NA;;;;3b;;NA;
1;3;0.248906603;FC1;essgroup*rid1;EPX;NA;NA;;;;3c;;NA;
