Essence_billon;Module;Produit;QualiteABCD;eco;ParameterEstimate;Effet
ERS;Pres;F1;A;;-20.26688951;classepetro_qual
ERS;Pres;F2;A;;-12.76807112;classepetro_qual
ERS;Pres;F3;A;;-0.649783386;classepetro_qual
ERS;Pres;F4;A;;0.280232409;classepetro_qual
ERS;Pres;P;A;;0.720737001;classepetro_qual
ERS;Pres;F1;B;;-21.24688461;classepetro_qual
ERS;Pres;F2;B;;-12.65172484;classepetro_qual
ERS;Pres;F3;B;;-0.348293547;classepetro_qual
ERS;Pres;F4;B;;0.721790615;classepetro_qual
ERS;Pres;P;B;;1.339862746;classepetro_qual
ERS;Pres;F1;C;;-22.20344073;classepetro_qual
ERS;Pres;F2;C;;-13.9035281;classepetro_qual
ERS;Pres;F3;C;;-0.688654528;classepetro_qual
ERS;Pres;F4;C;;0.726547469;classepetro_qual
ERS;Pres;P;C;;1.636664635;classepetro_qual
ERS;Pres;F1;D;;-23.93708376;classepetro_qual
ERS;Pres;F2;D;;-14.8891144;classepetro_qual
ERS;Pres;F3;D;;-1.703726075;classepetro_qual
ERS;Pres;F4;D;;0.374501686;classepetro_qual
ERS;Pres;P;D;;2.047080526;classepetro_qual
ERS;Pres;F1;;;0.596791292;dhpcm_classepetro
ERS;Pres;F2;;;0.447201703;dhpcm_classepetro
ERS;Pres;F3;;;0.022146584;dhpcm_classepetro
ERS;Pres;F4;;;-0.120254938;dhpcm_classepetro
ERS;Pres;P;;;0.050020423;dhpcm_classepetro
ERS;Pres;F1;;;-0.004967598;dhpcm2_classepetro
ERS;Pres;F2;;;-0.003994997;dhpcm2_classepetro
ERS;Pres;F3;;;-0.000168132;dhpcm2_classepetro
ERS;Pres;F4;;;0.001168978;dhpcm2_classepetro
ERS;Pres;P;;;-0.00088664;dhpcm2_classepetro
ERS;Pres;F1;;2O;2.806627435;classepetro_eco
ERS;Pres;F1;;3O_a;2.810030068;classepetro_eco
ERS;Pres;F1;;3O_b;2.064614206;classepetro_eco
ERS;Pres;F1;;4E;2.637533493;classepetro_eco
ERS;Pres;F1;;4O_b;0.160113402;classepetro_eco
ERS;Pres;F1;;4O_c;0;classepetro_eco
ERS;Pres;F2;;2O;0.988398127;classepetro_eco
ERS;Pres;F2;;3O_a;1.431987988;classepetro_eco
ERS;Pres;F2;;3O_b;1.411730157;classepetro_eco
ERS;Pres;F2;;4E;0.479426775;classepetro_eco
ERS;Pres;F2;;4O_b;-1.046883711;classepetro_eco
ERS;Pres;F2;;4O_c;0;classepetro_eco
ERS;Pres;F3;;2O;0.198763277;classepetro_eco
ERS;Pres;F3;;3O_a;0.352180144;classepetro_eco
ERS;Pres;F3;;3O_b;0.846579703;classepetro_eco
ERS;Pres;F3;;4E;-0.047746105;classepetro_eco
ERS;Pres;F3;;4O_b;-0.044621559;classepetro_eco
ERS;Pres;F3;;4O_c;0;classepetro_eco
ERS;Pres;F4;;2O;-1.357630241;classepetro_eco
ERS;Pres;F4;;3O_a;-0.134086687;classepetro_eco
ERS;Pres;F4;;3O_b;-0.095874471;classepetro_eco
ERS;Pres;F4;;4E;0.215581652;classepetro_eco
ERS;Pres;F4;;4O_b;0.017885109;classepetro_eco
ERS;Pres;F4;;4O_c;0;classepetro_eco
ERS;Pres;P;;2O;0.844535999;classepetro_eco
ERS;Pres;P;;3O_a;-0.270117828;classepetro_eco
ERS;Pres;P;;3O_b;0.298813681;classepetro_eco
