VegPotID;SubModuleID;ParameterEstimate
1;1;-0.001716935
1;1;-0.001768927
1;1;-0.001766509
1;1;-0.0017065
1;1;-0.001837627
1;1;0.004105022
1;1;0.004092484
1;1;0.023430609
1;1;0.001874324
1;1;-0.004125799
1;1;-0.001660512
1;1;-0.001743392
1;1;-0.001730985
1;1;-0.011123762
1;1;-0.001738698
1;1;-0.001726225
1;1;-0.001767188
1;1;-0.00174825
1;1;-0.001709242
1;1;0.004137239
1;1;0.004151104
1;1;0.004092541
1;1;0.022598936
1;1;0.002043926
1;1;-0.004139429
1;1;-0.001688931
1;1;-0.001719193
1;1;-0.001729842
1;1;-0.001740992
1;1;-0.002903383
1;1;-0.001664086
1;1;-0.001709069
1;1;-0.001717001
1;1;-0.001637614
1;1;0.004157744
1;1;0.004206062
1;1;0.004072288
1;1;0.004156649
1;1;0.006533566
1;1;0.002220781
1;1;-0.004147033
1;1;-0.001695179
1;1;-0.00170946
1;1;-0.001730495
1;1;-0.00170635
1;1;-0.00173496
1;1;-0.01405008
1;1;-0.001700483
1;1;-0.00172369
1;1;-0.001655924
1;1;0.004157042
1;1;0.004210869
1;1;0.004095807
1;1;0.004167436
1;1;0.00422109
1;1;0.038079386
1;1;0.002066889
1;1;-0.004084844
1;1;-0.001734633
1;1;-0.001520714
1;1;-0.001685259
1;1;-0.001532078
1;1;-0.001562385
1;1;-0.001547841
1;1;-0.008051145
1;1;-0.00159063
1;1;-0.001441749
1;1;0.00409342
1;1;0.004139726
1;1;0.004051518
1;1;0.004104284
1;1;0.004160092
1;1;0.004175276
1;1;0.0230758
1;1;0.002389192
1;1;-0.004129493
1;1;-0.00176501
1;1;-0.001681438
1;1;-0.00170386
1;1;-0.001701904
1;1;-0.001690856
1;1;-0.001630026
1;1;-0.001646836
1;1;-0.006847811
1;1;-0.001615402
1;1;0.004147036
1;1;0.004202042
1;1;0.004064892
1;1;0.004165716
1;1;0.004222371
1;1;0.004227641
1;1;0.004180911
1;1;0.014178516
1;1;0.002033687
1;1;-0.004145103
1;1;-0.00169423
1;1;-0.001874827
1;1;-0.001840081
1;1;-0.001948557
1;1;-0.001899075
1;1;-0.00199753
1;1;-0.001830474
1;1;-0.001904653
1;1;-0.025390038
1;1;0.004205729
1;1;0.004139296
1;1;0.004157387
1;1;0.004151608
1;1;0.004128326
1;1;0.004133207
1;1;0.004026096
1;1;0.004124582
1;1;0.044235723
1;1;-0.000146323
1;1;-1.07E-05
1;1;1.16E-05
1;1;-4.12E-05
1;1;-2.25E-05
1;1;-4.58E-05
1;1;-3.77E-05
1;1;-4.53E-05
1;1;-3.89E-05
1;1;-3.13E-05
1;1;-4.49E-05
1;1;4.11E-06
1;1;1.07E-05
1;1;1.30E-05
1;1;-2.74E-06
1;1;-5.54E-06
1;1;-3.81E-06
1;1;-1.35E-05
1;1;-1.93E-05
1;1;1.13E-05
1;1;1.27E-05
1;1;1.96E-06
1;1;1.33E-07
1;1;-1.49E-07
1;1;3.89E-07
1;1;2.48E-07
1;1;4.84E-07
1;1;3.71E-07
1;1;4.38E-07
1;1;4.29E-07
1;1;3.41E-07
1;1;3.86E-07
1;1;-4.58E-08
1;1;-3.19E-07
1;1;-1.51E-07
1;1;1.11E-08
1;1;-1.52E-08
1;1;-4.61E-08
1;1;5.69E-08
1;1;1.62E-07
1;1;-1.47E-07
1;1;-1.77E-07
1;1;2.72E-09
1;1;-0.000444248
1;1;-2.82E-05
1;1;-8.50E-05
1;1;-0.000180041
1;1;-8.38E-05
1;1;-0.000165524
1;1;-0.000175462
1;1;-0.000196101
1;1;-0.000143451
1;1;-0.006104023
1;1;-0.000225928
1;1;-5.32E-06
1;1;-6.47E-05
1;1;3.93E-05
1;1;-3.40E-05
1;1;-8.71E-05
1;1;-6.32E-05
1;1;-9.10E-05
1;1;-0.003406962
1;1;1.62E-05
1;1;2.88E-05
1;1;-2.97E-07
1;1;0.010723418
1;1;0.00018801
1;1;4.00E-05
1;1;-0.071392985
1;1;0.00016026
1;1;3.01E-05
1;1;0.0001982
1;1;0.000179973
1;1;0.000720113
1;1;9.54E-05
1;1;0.006050766
1;1;0.000578673
1;1;-0.009000739
1;1;-7.81E-06
1;1;-5.65E-05
1;1;-7.01E-05
1;1;-8.31E-06
1;1;0.000114838
1;1;0.000100965
1;1;0.003342548
1;1;-0.000263731
1;1;-2.22E-05
1;1;2.19E-07
1;1;-0.010600271
1;1;0.091558089
1;1;0.000220869
