VegPotID;SubModuleID;ParameterEstimate;Veg_Pot;Effect;Ess_groupe;qualite;drainage;vigueur;produit;type_pe;regEco;response;ntrt;mscr
1;2;0.633429645;FC1;essgroup*type_pe;ERS;;;;;type0;;;;
1;2;0.878949024;FC1;essgroup*type_pe;ERS;;;;;type1;;;;
1;2;0;FC1;essgroup*type_pe;ERS;;;;;type2;;;;
1;2;0.965726204;FC1;essgroup*type_pe;FEN;;;;;type0;;;;
1;2;0.850757277;FC1;essgroup*type_pe;FEN;;;;;type1;;;;
1;2;0;FC1;essgroup*type_pe;FEN;;;;;type2;;;;
1;2;0.283242014;FC1;essgroup*type_pe;FIN;;;;;type0;;;;
1;2;1.307315621;FC1;essgroup*type_pe;FIN;;;;;type1;;;;
1;2;0;FC1;essgroup*type_pe;FIN;;;;;type2;;;;
1;2;0.426636667;FC1;essgroup*type_pe;HEG;;;;;type0;;;;
1;2;0.543248578;FC1;essgroup*type_pe;HEG;;;;;type1;;;;
1;2;0;FC1;essgroup*type_pe;HEG;;;;;type2;;;;
1;2;-0.00101155;FC1;essgroup*type_pe;RES;;;;;type0;;;;
1;2;0;FC1;essgroup*type_pe;RES;;;;;type1;;;;
1;2;0;FC1;essgroup*type_pe;RES;;;;;type2;;;;
1;2;0;FC1;essgroup*type_pe;SAB;;;;;type0;;;;
1;2;0;FC1;essgroup*type_pe;SAB;;;;;type1;;;;
1;2;0;FC1;essgroup*type_pe;SAB;;;;;type2;;;;
1;3;4.571881029;FC1;Intercept;;;;;;;;;;
1;3;-4.757439652;FC1;vigu0*prod0;;;;NVIG;PATE;;;;;
1;3;-4.62946378;FC1;vigu0*prod0;;;;NVIG;RES;;;;;
1;3;-4.394273409;FC1;vigu0*prod0;;;;NVIG;SCI;;;;;
1;3;-0.678502015;FC1;vigu0*prod0;;;;VIG;PATE;;;;;
1;3;0.647972008;FC1;vigu0*prod0;;;;VIG;RES;;;;;
1;3;0;FC1;vigu0*prod0;;;;VIG;SCI;;;;;
1;3;-3.004330171;FC1;essgroup;AUT;;;;;;;;;
1;3;-2.155879867;FC1;essgroup;BOJ;;;;;;;;;
1;3;-3.495516093;FC1;essgroup;EPX;;;;;;;;;
1;3;-2.191457123;FC1;essgroup;ERR;;;;;;;;;
