"essence";"DHPcm";"eco";"vm3_DER";"vm3_F1";"vm3_F2";"vm3_F3";"vm3_F4";"vm3_P"
"BOJ";34;"4E";0.00223931176025787;0.00267559455312121;0.0299479370616215;0.0948115646486123;0.0203439934183991;0.355459485888235
"BOJ";36;"3O";0.00565338178967223;0.00377771750722282;0.0517288883729636;0.134048102984093;0.0176421404879084;0.28553283042874
"BOJ";36;"3E";0.031120591596464;0.00730617899146824;0.0824117800319375;0.1385271318283;0.0252942845994471;0.118729685160953
"BOJ";36;"4O_b";0.00197276642035092;0.00300004272127555;0.0466013287146236;0.136837940974287;0.0132167803990765;0.263560456785068
"BOJ";36;"4O_c";0.00860421026876663;0.00625078045603225;0.0821318925462392;0.167864819985651;0.0142454975393321;0.103991964766802
"BOJ";36;"4E";0.00330533251152322;0.00483662126459565;0.0385343647851223;0.0927105971126547;0.0215732296562918;0.386626477716563
"BOJ";38;"3O";0.00797908137530583;0.0064748551648394;0.0644491377888994;0.13312445978884;0.0186288754041238;0.311207533353443
"BOJ";38;"3E";0.0428294699100689;0.0124448712631349;0.100540425715302;0.137807723930204;0.0267413133394788;0.131815285044203
"BOJ";38;"4O_b";0.00279587715540026;0.00514494276992873;0.0581380122222107;0.135816926358414;0.0139427878570666;0.287094114949853
"BOJ";38;"4O_c";0.0121029448643097;0.0106649829687221;0.0999870418323132;0.169497269722268;0.0150397068438017;0.115519643771702
"BOJ";38;"4E";0.00467572723303125;0.00826846864626656;0.0483392624464352;0.0904702857122417;0.0227836013068364;0.419752071562177
"BOJ";40;"3O";0.0107934932961759;0.0104997687330222;0.0783650119184712;0.131876481607706;0.019590767944117;0.338612244806373
"BOJ";40;"3E";0.0564567045913366;0.0200122194747432;0.119800439164313;0.136742660372353;0.028155671816771;0.146262028659176
"BOJ";40;"4O_b";0.003798638107087;0.00834975624087515;0.0707837691112179;0.134468650000953;0.0146490375105993;0.312188115363366
"BOJ";40;"4O_c";0.0163141236925823;0.0171885573627824;0.118904002147704;0.170680024010828;0.0158136313314198;0.128260261214832
"BOJ";40;"4E";0.00634019099058681;0.0133616443239995;0.0591752638920544;0.0881341731567804;0.0239639308224892;0.454870406939398
"BOJ";42;"3O";0.0139998691845762;0.0161074741672188;0.0931204198419475;0.130350178451693;0.0205185167341333;0.367783809948063
"BOJ";42;"3E";0.0714338865598411;0.030377795215606;0.139715096676519;0.135376868350373;0.0295237939952538;0.162177861764492
"BOJ";42;"4O_b";0.00494842677365726;0.0128220768786871;0.0842158505851108;0.132840905115229;0.0153286611824413;0.338873407409878
"BOJ";42;"4O_c";0.0210872561024319;0.0261648437364946;0.138419523476588;0.171432664701521;0.0165597793334875;0.142312500842717
"BOJ";42;"4E";0.00824315455479996;0.0204075435951992;0.0707705949471004;0.0857417922848611;0.0251028165641356;0.492005479480066
"BOJ";44;"3O";0.0174204409456647;0.0233824330282706;0.10829419996993;0.128592490636531;0.0214027885957441;0.3987483878631
"BOJ";44;"3E";0.0869576552410636;0.043556916755305;0.159796835548692;0.133756949857306;0.0308320091882482;0.179670233084069
"BOJ";44;"4O_b";0.00618172308938313;0.0186353578070982;0.0980485231455978;0.130982190683875;0.0159747898869956;0.367171370571258
"BOJ";44;"4O_c";0.0261574929683314;0.0376383409717671;0.158066001822471;0.171781929083483;0.0172706380212863;0.15777511855172
"BOJ";44;"4E";0.0102792823149319;0.0294711719806974;0.082785353599311;0.0833281576332204;0.0261888112670377;0.531170050616447
"BOJ";46;"3O";0.020806181369949;0.0321430980706937;0.123424926116734;0.126649779975036;0.0222343721635602;0.431520119354086
"BOJ";46;"3E";0.102062453946407;0.0590827960513647;0.17956725318921;0.131929598311667;0.032066765132989;0.198843657192516
"BOJ";46;"4O_b";0.00740681481965355;0.025650896204894;0.111855854157964;0.128940183631389;0.0165806675593767;0.397092677960785
"BOJ";46;"4O_c";0.0311623971559312;0.0512324785407899;0.177389143724463;0.171760438761414;0.0179387971995055;0.174744787685401
"BOJ";46;"4E";0.0122985721099191;0.0402846545120509;0.0948313495728879;0.0809235690582274;0.0272106102464767;0.572364610569881
"BOJ";48;"3O";0.0238627894195791;0.0418928471348924;0.138031809104248;0.124566595558588;0.0230043358664843;0.466099891960268
"BOJ";48;"3E";0.115704937168475;0.0759915319967545;0.198563946350472;0.129940263098843;0.0332148588557867;0.219796834561985
"BOJ";48;"4O_b";0.00851335726404391;0.0334753567996339;0.12519156115943;0.126760502523486;0.0171397674565235;0.428636246266024
"BOJ";48;"4O_c";0.0356795409523406;0.0661201456779695;0.195952585114907;0.171405313630881;0.0185570765057224;0.193313526507613
"BOJ";48;"4E";0.0141220167741192;0.0522079782063891;0.106491922705835;0.078553663089161;0.0281572451141115;0.615576414302468
"BOJ";50;"3O";0.0262897230165586;0.0518443098704048;0.151630191397663;0.122384734738375;0.0237041865346492;0.50247423943579
"BOJ";50;"3E";0.126849657612325;0.092931935069577;0.21633749975486;0.127832095372746;0.0342636699115099;0.242619356825969
"BOJ";50;"4O_b";0.00938785427252992;0.0414768599608483;0.137604329028675;0.124485779637391;0.0176459084606798;0.461788302396258
"BOJ";50;"4O_c";0.0392798210424095;0.0811061929067257;0.213333113635715;0.170756764501046;0.0191186530031591;0.213565726159655
