Essence_billon;Module;ParameterEstimate;Produit;Effet
ERR;Vol;0;F2;dhpcm_classepetro
ERR;Vol;-0.00695980204359495;F3;dhpcm_classepetro
ERR;Vol;0;F4;dhpcm_classepetro
ERR;Vol;0;P;dhpcm_classepetro
ERS;Pres;0;DER;classepetro
ERS;Pres;-22.9199534783039;F1;classepetro
ERS;Pres;-14.4750438429013;F2;classepetro
ERS;Pres;-1.80885823945755;F3;classepetro
ERS;Pres;0.810055253391667;F4;classepetro
ERS;Pres;4.38199890087923;P;classepetro
ERS;Pres;0;DER;dhpcm
ERS;Pres;-0.0704434983265966;F1;dhpcm
ERS;Pres;-0.0704434983265966;F2;dhpcm
ERS;Pres;-0.0704434983265966;F3;dhpcm
ERS;Pres;-0.0704434983265966;F4;dhpcm
ERS;Pres;-0.0704434983265966;P;dhpcm
ERS;Pres;0;DER;dhpcm_classepetro
ERS;Pres;0.860375132125185;F1;dhpcm_classepetro
ERS;Pres;0.622227068070999;F2;dhpcm_classepetro
ERS;Pres;0.169462329895258;F3;dhpcm_classepetro
ERS;Pres;-0.0526453671403302;F4;dhpcm_classepetro
ERS;Pres;0;P;dhpcm_classepetro
ERS;Pres;0;DER;dhpcm2
ERS;Pres;4.41170474470593e-4;F1;dhpcm2
ERS;Pres;4.41170474470593e-4;F2;dhpcm2
ERS;Pres;4.41170474470593e-4;F3;dhpcm2
ERS;Pres;4.41170474470593e-4;F4;dhpcm2
ERS;Pres;4.41170474470593e-4;P;dhpcm2
ERS;Pres;0;DER;dhpcm2_classepetro
ERS;Pres;-0.0075497213857895;F1;dhpcm2_classepetro
ERS;Pres;-0.00553754246811288;F2;dhpcm2_classepetro
ERS;Pres;-0.0013885118231198;F3;dhpcm2_classepetro
ERS;Pres;6.9357350509474e-4;F4;dhpcm2_classepetro
ERS;Pres;0;P;dhpcm2_classepetro
ERS;Vol;0;DER;classepetro
ERS;Vol;-2.68681890595853;F1;classepetro
ERS;Vol;-2.34753561792347;F2;classepetro
ERS;Vol;-2.81656895197959;F3;classepetro
ERS;Vol;-3.34186515959732;F4;classepetro
ERS;Vol;-2.35657555680071;P;classepetro
ERS;Vol;0;DER;dhpcm
ERS;Vol;0.0310992865221653;F1;dhpcm
ERS;Vol;0.0310992865221653;F2;dhpcm
ERS;Vol;0.0310992865221653;F3;dhpcm
ERS;Vol;0.0310992865221653;F4;dhpcm
ERS;Vol;0.0310992865221653;P;dhpcm
ERS;Vol;0;DER;dhpcm_classepetro
ERS;Vol;0.0120609871138523;F1;dhpcm_classepetro
ERS;Vol;0.00146112674822758;F2;dhpcm_classepetro
ERS;Vol;0.00772865076792519;F3;dhpcm_classepetro
ERS;Vol;-0.00490435980852182;F4;dhpcm_classepetro
ERS;Vol;0;P;dhpcm_classepetro
HEG;Pres;0;DER;classepetro
HEG;Pres;0;F1;classepetro
HEG;Pres;-5.31666343440083;F2;classepetro
HEG;Pres;0.0705641501109092;F3;classepetro
HEG;Pres;1.16475040004301;F4;classepetro
HEG;Pres;3.50761086742552;P;classepetro
HEG;Pres;0;DER;dhpcm
HEG;Pres;0;F1;dhpcm
HEG;Pres;0.00927271076002375;F2;dhpcm
HEG;Pres;0.00927271076002375;F3;dhpcm
